Date	Latitude	Longitude	Type
01/01/2019 05:00:00 PM	41.890829171	-87.630418369	THEFT
01/01/2019 05:30:00 PM	41.930049492	-87.685920733	THEFT
01/03/2019 02:30:00 PM	41.877822179	-87.655181405	THEFT
01/01/2019 02:15:00 PM	41.885728393	-87.63413935	THEFT
01/02/2019 09:30:00 PM	41.972561751	-87.667026174	OTHER OFFENSE
01/03/2019 06:47:00 PM	41.822614326	-87.703084518	WEAPONS VIOLATION
01/01/2019 05:30:00 AM	41.932651187	-87.653197025	DECEPTIVE PRACTICE
01/02/2019 02:00:00 AM	42.014413956	-87.680491816	THEFT
01/03/2019 08:28:00 PM	41.916074386	-87.725301976	CRIMINAL DAMAGE
01/01/2019 08:00:00 PM	41.753720143	-87.65139884	ASSAULT
01/01/2019 03:57:00 PM	41.883217427	-87.628753807	CRIMINAL DAMAGE
01/03/2019 05:21:00 PM	41.794462581	-87.770558224	THEFT
01/02/2019 05:40:00 PM	41.779520772	-87.660962362	INTERFERENCE WITH PUBLIC OFFICER
01/12/2019 11:05:00 PM	41.893108171	-87.751854116	CRIMINAL DAMAGE
01/16/2019 11:00:00 AM	41.90028343	-87.687977308	OTHER OFFENSE
01/03/2019 12:00:00 PM	41.783432002	-87.615701737	OTHER OFFENSE
01/01/2019 12:10:00 AM	41.834881119	-87.653502925	CRIMINAL DAMAGE
01/02/2019 07:35:00 PM	41.79329893	-87.66456619	ASSAULT
01/01/2019 04:30:00 PM	41.904424874	-87.640477864	OFFENSE INVOLVING CHILDREN
01/02/2019 09:56:00 AM	41.866706758	-87.679581027	OTHER OFFENSE
01/03/2019 10:00:00 PM	42.010764836	-87.682538193	CRIMINAL DAMAGE
01/01/2019 11:47:00 AM	41.856790413	-87.708424071	NARCOTICS
01/03/2019 08:00:00 PM	41.964567946	-87.766136856	THEFT
01/03/2019 06:30:00 PM	41.885741029	-87.631711749	DECEPTIVE PRACTICE
01/03/2019 07:15:00 PM	41.866483799	-87.698042659	NARCOTICS
01/02/2019 09:00:00 PM	41.793893286	-87.648072441	CRIMINAL DAMAGE
01/01/2019 10:00:00 PM	41.860022642	-87.733549594	BATTERY
01/01/2019 01:48:00 AM	41.812842958	-87.711323831	BATTERY
01/01/2019 03:05:00 PM	41.909411174	-87.675956643	ROBBERY
01/02/2019 11:06:00 AM	41.749500119	-87.601124421	ASSAULT
01/01/2019 12:26:00 AM	41.888057631	-87.629545308	CRIMINAL DAMAGE
01/02/2019 06:30:00 PM	41.75593947	-87.65729799	THEFT
01/02/2019 06:34:00 PM	42.018866632	-87.669291997	BATTERY
01/01/2019 12:00:00 PM	41.88227916	-87.762201482	ASSAULT
01/01/2019 08:27:00 AM	41.96463541	-87.656986152	OTHER OFFENSE
01/02/2019 02:00:00 PM	41.991803839	-87.661808044	THEFT
01/02/2019 09:12:00 PM	41.74317925	-87.600148257	CRIMINAL DAMAGE
01/01/2019 11:00:00 AM	41.785589304	-87.705746283	CRIMINAL DAMAGE
01/01/2019 04:30:00 PM	41.733096679	-87.6654182	BATTERY
01/01/2019 03:31:00 PM	41.909606861	-87.747597113	CRIMINAL DAMAGE
01/03/2019 03:30:00 PM	41.876554398	-87.763254883	BATTERY
01/01/2019 11:38:00 PM	41.933445797	-87.740076514	ASSAULT
01/03/2019 07:59:00 AM	41.809370619	-87.617407721	OTHER OFFENSE
01/01/2019 12:15:00 AM	41.885908101	-87.626289429	BATTERY
01/03/2019 07:40:00 PM	41.758288764	-87.5615071	BATTERY
01/03/2019 10:53:00 AM	41.878458449	-87.745204753	NARCOTICS
